freq,L,Q,N,L1,L2,W,S,"mag(S(1,1))","phase(S(1,1))"
500.0 MHz,14.349,57.958,0.25,2.0,2.0,0.1,0.1,,
500.0 MHz,10.868,81.835,0.25,2.0,2.0,0.2,0.2,0.998,172.187
500.0 MHz,11.439,81.045,0.25,2.0,2.1,0.2,0.2,0.998,171.778
500.0 MHz,12.572,79.95,0.25,2.0,2.3,0.2,0.2,0.998,170.967
500.0 MHz,13.139,79.601,0.25,2.0,2.4,0.2,0.2,0.998,170.561
500.0 MHz,13.711,79.126,0.25,2.0,2.5,0.2,0.2,0.998,170.153
500.0 MHz,27.644,79.745,0.25,2.0,4.9,0.2,0.3,0.996,160.293
500.0 MHz,24.95,90.427,0.25,2.0,4.9,0.25,0.3,0.997,162.181
500.0 MHz,23.328,96.42,0.25,2.0,4.9,0.3,0.3,0.997,163.323
500.0 MHz,28.225,79.664,0.25,2.0,5.0,0.2,0.3,0.996,159.887
500.0 MHz,25.488,90.292,0.25,2.0,5.0,0.25,0.3,0.997,161.803
500.0 MHz,14.349,57.958,0.25,2.1,2.0,0.1,0.1,,
500.0 MHz,10.868,81.835,0.25,2.1,2.0,0.2,0.2,0.998,172.187
500.0 MHz,15.033,57.47,0.25,2.1,2.1,0.1,0.1,0.997,169.208
500.0 MHz,11.439,81.045,0.25,2.1,2.1,0.2,0.2,0.998,171.778
500.0 MHz,12.572,79.95,0.25,2.1,2.3,0.2,0.2,0.998,170.967
500.0 MHz,13.139,79.601,0.25,2.1,2.4,0.2,0.2,0.998,170.561
500.0 MHz,13.711,79.126,0.25,2.1,2.5,0.2,0.2,0.998,170.153
500.0 MHz,27.644,79.745,0.25,2.1,4.9,0.2,0.3,0.996,160.293
500.0 MHz,24.95,90.427,0.25,2.1,4.9,0.25,0.3,0.997,162.181
500.0 MHz,28.225,79.664,0.25,2.1,5.0,0.2,0.3,0.996,159.887
500.0 MHz,25.488,90.292,0.25,2.1,5.0,0.25,0.3,0.997,161.803
500.0 MHz,14.349,57.958,0.25,2.2,2.0,0.1,0.1,,
500.0 MHz,10.868,81.835,0.25,2.2,2.0,0.2,0.2,0.998,172.187
500.0 MHz,15.033,57.47,0.25,2.2,2.1,0.1,0.1,0.997,169.208
500.0 MHz,11.439,81.045,0.25,2.2,2.1,0.2,0.2,0.998,171.778
500.0 MHz,12.572,79.95,0.25,2.2,2.3,0.2,0.2,0.998,170.967
500.0 MHz,13.139,79.601,0.25,2.2,2.4,0.2,0.2,0.998,170.561
500.0 MHz,27.644,79.745,0.25,2.2,4.9,0.2,0.3,0.996,160.293
500.0 MHz,24.95,90.427,0.25,2.2,4.9,0.25,0.3,0.997,162.181
500.0 MHz,28.225,79.664,0.25,2.2,5.0,0.2,0.3,0.996,159.887
500.0 MHz,25.488,90.292,0.25,2.2,5.0,0.25,0.3,0.997,161.803
500.0 MHz,14.349,57.958,0.25,2.3,2.0,0.1,0.1,,
500.0 MHz,10.868,81.835,0.25,2.3,2.0,0.2,0.2,0.998,172.187
500.0 MHz,15.033,57.47,0.25,2.3,2.1,0.1,0.1,0.997,169.208
500.0 MHz,11.439,81.045,0.25,2.3,2.1,0.2,0.2,0.998,171.778
500.0 MHz,12.572,79.95,0.25,2.3,2.3,0.2,0.2,0.998,170.967
500.0 MHz,13.139,79.601,0.25,2.3,2.4,0.2,0.2,0.998,170.561
500.0 MHz,27.644,79.745,0.25,2.3,4.9,0.2,0.3,0.996,160.293
500.0 MHz,24.95,90.427,0.25,2.3,4.9,0.25,0.3,0.997,162.181
500.0 MHz,28.225,79.664,0.25,2.3,5.0,0.2,0.3,0.996,159.887
500.0 MHz,25.488,90.292,0.25,2.3,5.0,0.25,0.3,0.997,161.803
500.0 MHz,14.349,57.958,0.25,2.4,2.0,0.1,0.1,,
500.0 MHz,10.868,81.835,0.25,2.4,2.0,0.2,0.2,0.998,172.187
500.0 MHz,15.033,57.47,0.25,2.4,2.1,0.1,0.1,0.997,169.208
500.0 MHz,11.439,81.045,0.25,2.4,2.1,0.2,0.2,0.998,171.778
500.0 MHz,12.572,79.95,0.25,2.4,2.3,0.2,0.2,0.998,170.967
500.0 MHz,13.139,79.601,0.25,2.4,2.4,0.2,0.2,0.998,170.561
500.0 MHz,27.644,79.745,0.25,2.4,4.9,0.2,0.3,0.996,160.293
500.0 MHz,24.95,90.427,0.25,2.4,4.9,0.25,0.3,0.997,162.181
500.0 MHz,28.225,79.664,0.25,2.4,5.0,0.2,0.3,0.996,159.887
500.0 MHz,25.488,90.292,0.25,2.4,5.0,0.25,0.3,0.997,161.803
500.0 MHz,14.349,57.958,0.25,2.5,2.0,0.1,0.1,,
500.0 MHz,10.868,81.835,0.25,2.5,2.0,0.2,0.2,0.998,172.187
500.0 MHz,15.033,57.47,0.25,2.5,2.1,0.1,0.1,0.997,169.208
500.0 MHz,11.439,81.045,0.25,2.5,2.1,0.2,0.2,0.998,171.778
500.0 MHz,12.572,79.95,0.25,2.5,2.3,0.2,0.2,0.998,170.967
500.0 MHz,13.139,79.601,0.25,2.5,2.4,0.2,0.2,0.998,170.561
500.0 MHz,13.711,79.126,0.25,2.5,2.5,0.2,0.25,0.998,170.153
500.0 MHz,12.162,90.243,0.25,2.5,2.5,0.25,0.2,0.998,171.26
500.0 MHz,14.307,81.514,0.25,2.5,2.6,0.2,0.25,0.998,169.726
