freq,L,Q,N,L1,L2,W,S,"mag(S(1,1))","phase(S(1,1))"
400.0 MHz,14.375,53.524,0.25,2.0,2.0,0.1,0.1,,
400.0 MHz,10.882,75.137,0.25,2.0,2.0,0.2,0.2,0.999,173.738
400.0 MHz,11.454,74.412,0.25,2.0,2.1,0.2,0.2,0.998,173.41
400.0 MHz,12.588,73.409,0.25,2.0,2.3,0.2,0.2,0.998,172.759
400.0 MHz,13.157,73.089,0.25,2.0,2.4,0.2,0.2,0.998,172.433
400.0 MHz,13.729,72.657,0.25,2.0,2.5,0.2,0.2,0.998,172.105
400.0 MHz,27.668,73.252,0.25,2.0,4.9,0.2,0.3,0.996,164.165
400.0 MHz,24.968,83.004,0.25,2.0,4.9,0.25,0.3,0.997,165.693
400.0 MHz,23.343,88.483,0.25,2.0,4.9,0.3,0.3,0.997,166.616
400.0 MHz,28.249,73.18,0.25,2.0,5.0,0.2,0.3,0.996,163.837
400.0 MHz,25.505,82.881,0.25,2.0,5.0,0.25,0.3,0.997,165.389
400.0 MHz,14.375,53.524,0.25,2.1,2.0,0.1,0.1,,
400.0 MHz,10.882,75.137,0.25,2.1,2.0,0.2,0.2,0.999,173.738
400.0 MHz,15.061,53.086,0.25,2.1,2.1,0.1,0.1,0.997,171.341
400.0 MHz,11.454,74.412,0.25,2.1,2.1,0.2,0.2,0.998,173.41
400.0 MHz,12.588,73.409,0.25,2.1,2.3,0.2,0.2,0.998,172.759
400.0 MHz,13.157,73.089,0.25,2.1,2.4,0.2,0.2,0.998,172.433
400.0 MHz,13.729,72.657,0.25,2.1,2.5,0.2,0.2,0.998,172.105
400.0 MHz,27.668,73.252,0.25,2.1,4.9,0.2,0.3,0.996,164.165
400.0 MHz,24.968,83.004,0.25,2.1,4.9,0.25,0.3,0.997,165.693
400.0 MHz,28.249,73.18,0.25,2.1,5.0,0.2,0.3,0.996,163.837
400.0 MHz,25.505,82.881,0.25,2.1,5.0,0.25,0.3,0.997,165.389
400.0 MHz,14.375,53.524,0.25,2.2,2.0,0.1,0.1,,
400.0 MHz,10.882,75.137,0.25,2.2,2.0,0.2,0.2,0.999,173.738
400.0 MHz,15.061,53.086,0.25,2.2,2.1,0.1,0.1,0.997,171.341
400.0 MHz,11.454,74.412,0.25,2.2,2.1,0.2,0.2,0.998,173.41
400.0 MHz,12.588,73.409,0.25,2.2,2.3,0.2,0.2,0.998,172.759
400.0 MHz,13.157,73.089,0.25,2.2,2.4,0.2,0.2,0.998,172.433
400.0 MHz,27.668,73.252,0.25,2.2,4.9,0.2,0.3,0.996,164.165
400.0 MHz,24.968,83.004,0.25,2.2,4.9,0.25,0.3,0.997,165.693
400.0 MHz,28.249,73.18,0.25,2.2,5.0,0.2,0.3,0.996,163.837
400.0 MHz,25.505,82.881,0.25,2.2,5.0,0.25,0.3,0.997,165.389
400.0 MHz,14.375,53.524,0.25,2.3,2.0,0.1,0.1,,
400.0 MHz,10.882,75.137,0.25,2.3,2.0,0.2,0.2,0.999,173.738
400.0 MHz,15.061,53.086,0.25,2.3,2.1,0.1,0.1,0.997,171.341
400.0 MHz,11.454,74.412,0.25,2.3,2.1,0.2,0.2,0.998,173.41
400.0 MHz,12.588,73.409,0.25,2.3,2.3,0.2,0.2,0.998,172.759
400.0 MHz,13.157,73.089,0.25,2.3,2.4,0.2,0.2,0.998,172.433
400.0 MHz,27.668,73.252,0.25,2.3,4.9,0.2,0.3,0.996,164.165
400.0 MHz,24.968,83.004,0.25,2.3,4.9,0.25,0.3,0.997,165.693
400.0 MHz,28.249,73.18,0.25,2.3,5.0,0.2,0.3,0.996,163.837
400.0 MHz,25.505,82.881,0.25,2.3,5.0,0.25,0.3,0.997,165.389
400.0 MHz,14.375,53.524,0.25,2.4,2.0,0.1,0.1,,
400.0 MHz,10.882,75.137,0.25,2.4,2.0,0.2,0.2,0.999,173.738
400.0 MHz,15.061,53.086,0.25,2.4,2.1,0.1,0.1,0.997,171.341
400.0 MHz,11.454,74.412,0.25,2.4,2.1,0.2,0.2,0.998,173.41
400.0 MHz,12.588,73.409,0.25,2.4,2.3,0.2,0.2,0.998,172.759
400.0 MHz,13.157,73.089,0.25,2.4,2.4,0.2,0.2,0.998,172.433
400.0 MHz,27.668,73.252,0.25,2.4,4.9,0.2,0.3,0.996,164.165
400.0 MHz,24.968,83.004,0.25,2.4,4.9,0.25,0.3,0.997,165.693
400.0 MHz,28.249,73.18,0.25,2.4,5.0,0.2,0.3,0.996,163.837
400.0 MHz,25.505,82.881,0.25,2.4,5.0,0.25,0.3,0.997,165.389
400.0 MHz,14.375,53.524,0.25,2.5,2.0,0.1,0.1,,
400.0 MHz,10.882,75.137,0.25,2.5,2.0,0.2,0.2,0.999,173.738
400.0 MHz,15.061,53.086,0.25,2.5,2.1,0.1,0.1,0.997,171.341
400.0 MHz,11.454,74.412,0.25,2.5,2.1,0.2,0.2,0.998,173.41
400.0 MHz,12.588,73.409,0.25,2.5,2.3,0.2,0.2,0.998,172.759
400.0 MHz,13.157,73.089,0.25,2.5,2.4,0.2,0.2,0.998,172.433
400.0 MHz,13.729,72.657,0.25,2.5,2.5,0.2,0.25,0.998,172.105
400.0 MHz,12.176,82.779,0.25,2.5,2.5,0.25,0.2,0.999,172.995
400.0 MHz,14.325,74.824,0.25,2.5,2.6,0.2,0.25,0.998,171.763
400.0 MHz,12.688,86.693,0.25,2.5,2.6,0.25,0.2,0.999,172.701
400.0 MHz,14.904,74.522,0.25,2.5,2.7,0.2,0.25,0.998,171.431
400.0 MHz,13.223,85.03,0.25,2.5,2.7,0.25,0.2,0.998,172.395
400.0 MHz,15.478,74.276,0.25,2.5,2.8,0.2,0.25,0.998,171.103
400.0 MHz,13.751,84.769,0.25,2.5,2.8,0.25,0.2,0.998,172.092
400.0 MHz,16.052,74.104,0.25,2.5,2.9,0.2,0.25,0.998,170.774
400.0 MHz,14.296,83.97,0.25,2.5,2.9,0.25,0.2,0.998,171.78
400.0 MHz,16.633,73.74,0.25,2.5,3.0,0.2,0.25,0.998,170.441
400.0 MHz,14.826,83.738,0.25,2.5,3.0,0.25,0.2,0.998,171.476
400.0 MHz,17.204,73.465,0.25,2.5,3.1,0.2,0.25,0.998,170.115
400.0 MHz,15.362,83.341,0.25,2.5,3.1,0.25,0.2,0.998,171.169
400.0 MHz,17.779,73.252,0.25,2.5,3.2,0.2,0.25,0.998,169.786
400.0 MHz,15.89,83.189,0.25,2.5,3.2,0.25,0.2,0.998,170.867
400.0 MHz,18.357,73.077,0.25,2.5,3.3,0.2,0.25,0.997,169.456
400.0 MHz,16.42,83.051,0.25,2.5,3.3,0.25,0.2,0.998,170.563
400.0 MHz,18.934,72.921,0.25,2.5,3.4,0.2,0.25,0.997,169.127
400.0 MHz,16.95,82.917,0.25,2.5,3.4,0.25,0.2,0.998,170.26
400.0 MHz,19.509,72.775,0.25,2.5,3.5,0.2,0.25,0.997,168.799
400.0 MHz,17.478,82.605,0.25,2.5,3.5,0.25,0.2,0.998,169.958
