freq,L,Q,N,L1,L2,W,S,"mag(S(1,1))","phase(S(1,1))"
800.0 MHz,14.303,70.007,0.25,2.0,2.0,0.1,0.1,,
800.0 MHz,10.844,99.71,0.25,2.0,2.0,0.2,0.2,0.998,167.556
800.0 MHz,11.414,98.745,0.25,2.0,2.1,0.2,0.2,0.998,166.908
800.0 MHz,12.546,97.402,0.25,2.0,2.3,0.2,0.2,0.997,165.623
800.0 MHz,13.113,96.976,0.25,2.0,2.4,0.2,0.2,0.997,164.981
800.0 MHz,13.683,96.381,0.25,2.0,2.5,0.2,0.2,0.997,164.335
800.0 MHz,27.641,96.932,0.25,2.0,4.9,0.2,0.3,0.995,148.941
800.0 MHz,24.955,109.894,0.25,2.0,4.9,0.25,0.3,0.996,151.833
800.0 MHz,23.334,117.167,0.25,2.0,4.9,0.3,0.3,0.996,153.596
800.0 MHz,28.225,96.82,0.25,2.0,5.0,0.2,0.3,0.995,148.317
800.0 MHz,25.495,109.722,0.25,2.0,5.0,0.25,0.3,0.996,151.248
800.0 MHz,14.303,70.007,0.25,2.1,2.0,0.1,0.1,,
800.0 MHz,10.844,99.71,0.25,2.1,2.0,0.2,0.2,0.998,167.556
800.0 MHz,14.985,69.38,0.25,2.1,2.1,0.1,0.1,0.996,162.866
800.0 MHz,11.414,98.745,0.25,2.1,2.1,0.2,0.2,0.998,166.908
800.0 MHz,12.546,97.402,0.25,2.1,2.3,0.2,0.2,0.997,165.623
800.0 MHz,13.113,96.976,0.25,2.1,2.4,0.2,0.2,0.997,164.981
800.0 MHz,13.683,96.381,0.25,2.1,2.5,0.2,0.2,0.997,164.335
800.0 MHz,27.641,96.932,0.25,2.1,4.9,0.2,0.3,0.995,148.941
800.0 MHz,24.955,109.894,0.25,2.1,4.9,0.25,0.3,0.996,151.833
800.0 MHz,28.225,96.82,0.25,2.1,5.0,0.2,0.3,0.995,148.317
800.0 MHz,25.495,109.722,0.25,2.1,5.0,0.25,0.3,0.996,151.248
800.0 MHz,14.303,70.007,0.25,2.2,2.0,0.1,0.1,,
800.0 MHz,10.844,99.71,0.25,2.2,2.0,0.2,0.2,0.998,167.556
800.0 MHz,14.985,69.38,0.25,2.2,2.1,0.1,0.1,0.996,162.866
800.0 MHz,11.414,98.745,0.25,2.2,2.1,0.2,0.2,0.998,166.908
800.0 MHz,12.546,97.402,0.25,2.2,2.3,0.2,0.2,0.997,165.623
800.0 MHz,13.113,96.976,0.25,2.2,2.4,0.2,0.2,0.997,164.981
800.0 MHz,27.641,96.932,0.25,2.2,4.9,0.2,0.3,0.995,148.941
800.0 MHz,24.955,109.894,0.25,2.2,4.9,0.25,0.3,0.996,151.833
800.0 MHz,28.225,96.82,0.25,2.2,5.0,0.2,0.3,0.995,148.317
800.0 MHz,25.495,109.722,0.25,2.2,5.0,0.25,0.3,0.996,151.248
800.0 MHz,14.303,70.007,0.25,2.3,2.0,0.1,0.1,,
800.0 MHz,10.844,99.71,0.25,2.3,2.0,0.2,0.2,0.998,167.556
800.0 MHz,14.985,69.38,0.25,2.3,2.1,0.1,0.1,0.996,162.866
800.0 MHz,11.414,98.745,0.25,2.3,2.1,0.2,0.2,0.998,166.908
800.0 MHz,12.546,97.402,0.25,2.3,2.3,0.2,0.2,0.997,165.623
800.0 MHz,13.113,96.976,0.25,2.3,2.4,0.2,0.2,0.997,164.981
800.0 MHz,27.641,96.932,0.25,2.3,4.9,0.2,0.3,0.995,148.941
800.0 MHz,24.955,109.894,0.25,2.3,4.9,0.25,0.3,0.996,151.833
800.0 MHz,28.225,96.82,0.25,2.3,5.0,0.2,0.3,0.995,148.317
800.0 MHz,25.495,109.722,0.25,2.3,5.0,0.25,0.3,0.996,151.248
800.0 MHz,14.303,70.007,0.25,2.4,2.0,0.1,0.1,,
800.0 MHz,10.844,99.71,0.25,2.4,2.0,0.2,0.2,0.998,167.556
800.0 MHz,14.985,69.38,0.25,2.4,2.1,0.1,0.1,0.996,162.866
800.0 MHz,11.414,98.745,0.25,2.4,2.1,0.2,0.2,0.998,166.908
800.0 MHz,12.546,97.402,0.25,2.4,2.3,0.2,0.2,0.997,165.623
800.0 MHz,13.113,96.976,0.25,2.4,2.4,0.2,0.2,0.997,164.981
800.0 MHz,27.641,96.932,0.25,2.4,4.9,0.2,0.3,0.995,148.941
800.0 MHz,24.955,109.894,0.25,2.4,4.9,0.25,0.3,0.996,151.833
800.0 MHz,28.225,96.82,0.25,2.4,5.0,0.2,0.3,0.995,148.317
800.0 MHz,25.495,109.722,0.25,2.4,5.0,0.25,0.3,0.996,151.248
800.0 MHz,14.303,70.007,0.25,2.5,2.0,0.1,0.1,,
800.0 MHz,10.844,99.71,0.25,2.5,2.0,0.2,0.2,0.998,167.556
800.0 MHz,14.985,69.38,0.25,2.5,2.1,0.1,0.1,0.996,162.866
800.0 MHz,11.414,98.745,0.25,2.5,2.1,0.2,0.2,0.998,166.908
800.0 MHz,12.546,97.402,0.25,2.5,2.3,0.2,0.2,0.997,165.623
800.0 MHz,13.113,96.976,0.25,2.5,2.4,0.2,0.2,0.997,164.981
800.0 MHz,13.683,96.381,0.25,2.5,2.5,0.2,0.25,0.997,164.335
800.0 MHz,12.142,109.981,0.25,2.5,2.5,0.25,0.2,0.998,166.081
800.0 MHz,14.281,99.339,0.25,2.5,2.6,0.2,0.25,0.997,163.66
800.0 MHz,12.656,115.118,0.25,2.5,2.6,0.25,0.2,0.998,165.499
800.0 MHz,14.859,98.85,0.25,2.5,2.7,0.2,0.25,0.997,163.008
800.0 MHz,13.189,112.875,0.25,2.5,2.7,0.25,0.2,0.998,164.895
800.0 MHz,15.432,98.503,0.25,2.5,2.8,0.2,0.25,0.997,162.363
800.0 MHz,13.716,112.532,0.25,2.5,2.8,0.25,0.2,0.998,164.298
800.0 MHz,16.006,98.261,0.25,2.5,2.9,0.2,0.25,0.997,161.718
800.0 MHz,14.261,111.473,0.25,2.5,2.9,0.25,0.2,0.997,163.683
800.0 MHz,16.586,97.767,0.25,2.5,3.0,0.2,0.25,0.997,161.067
800.0 MHz,14.791,111.15,0.25,2.5,3.0,0.25,0.2,0.997,163.085
800.0 MHz,17.156,97.418,0.25,2.5,3.1,0.2,0.25,0.997,160.429
800.0 MHz,15.326,110.609,0.25,2.5,3.1,0.25,0.2,0.997,162.483
800.0 MHz,17.73,97.133,0.25,2.5,3.2,0.2,0.25,0.996,159.787
