freq,L,Q,N,L1,L2,W,S,"mag(S(1,1))","phase(S(1,1))"
600.0 MHz,14.329,62.174,0.25,2.0,2.0,0.1,0.1,,
600.0 MHz,10.857,88.173,0.25,2.0,2.0,0.2,0.2,0.998,170.64
600.0 MHz,11.428,87.321,0.25,2.0,2.1,0.2,0.2,0.998,170.151
600.0 MHz,12.56,86.138,0.25,2.0,2.3,0.2,0.2,0.998,169.181
600.0 MHz,13.127,85.763,0.25,2.0,2.4,0.2,0.2,0.998,168.695
600.0 MHz,13.698,85.246,0.25,2.0,2.5,0.2,0.2,0.998,168.207
600.0 MHz,27.633,85.866,0.25,2.0,4.9,0.2,0.3,0.995,156.462
600.0 MHz,24.943,97.391,0.25,2.0,4.9,0.25,0.3,0.996,158.698
600.0 MHz,23.323,103.854,0.25,2.0,4.9,0.3,0.3,0.997,160.053
600.0 MHz,28.215,85.775,0.25,2.0,5.0,0.2,0.3,0.995,155.98
600.0 MHz,25.482,97.244,0.25,2.0,5.0,0.25,0.3,0.996,158.249
600.0 MHz,14.329,62.174,0.25,2.1,2.0,0.1,0.1,,
600.0 MHz,10.857,88.173,0.25,2.1,2.0,0.2,0.2,0.998,170.64
600.0 MHz,15.012,61.638,0.25,2.1,2.1,0.1,0.1,0.996,167.084
600.0 MHz,11.428,87.321,0.25,2.1,2.1,0.2,0.2,0.998,170.151
600.0 MHz,12.56,86.138,0.25,2.1,2.3,0.2,0.2,0.998,169.181
600.0 MHz,13.127,85.763,0.25,2.1,2.4,0.2,0.2,0.998,168.695
600.0 MHz,13.698,85.246,0.25,2.1,2.5,0.2,0.2,0.998,168.207
600.0 MHz,27.633,85.866,0.25,2.1,4.9,0.2,0.3,0.995,156.462
600.0 MHz,24.943,97.391,0.25,2.1,4.9,0.25,0.3,0.996,158.698
600.0 MHz,28.215,85.775,0.25,2.1,5.0,0.2,0.3,0.995,155.98
600.0 MHz,25.482,97.244,0.25,2.1,5.0,0.25,0.3,0.996,158.249
600.0 MHz,14.329,62.174,0.25,2.2,2.0,0.1,0.1,,
600.0 MHz,10.857,88.173,0.25,2.2,2.0,0.2,0.2,0.998,170.64
600.0 MHz,15.012,61.638,0.25,2.2,2.1,0.1,0.1,0.996,167.084
600.0 MHz,11.428,87.321,0.25,2.2,2.1,0.2,0.2,0.998,170.151
600.0 MHz,12.56,86.138,0.25,2.2,2.3,0.2,0.2,0.998,169.181
600.0 MHz,13.127,85.763,0.25,2.2,2.4,0.2,0.2,0.998,168.695
600.0 MHz,27.633,85.866,0.25,2.2,4.9,0.2,0.3,0.995,156.462
600.0 MHz,24.943,97.391,0.25,2.2,4.9,0.25,0.3,0.996,158.698
600.0 MHz,28.215,85.775,0.25,2.2,5.0,0.2,0.3,0.995,155.98
600.0 MHz,25.482,97.244,0.25,2.2,5.0,0.25,0.3,0.996,158.249
600.0 MHz,14.329,62.174,0.25,2.3,2.0,0.1,0.1,,
600.0 MHz,10.857,88.173,0.25,2.3,2.0,0.2,0.2,0.998,170.64
600.0 MHz,15.012,61.638,0.25,2.3,2.1,0.1,0.1,0.996,167.084
600.0 MHz,11.428,87.321,0.25,2.3,2.1,0.2,0.2,0.998,170.151
600.0 MHz,12.56,86.138,0.25,2.3,2.3,0.2,0.2,0.998,169.181
600.0 MHz,13.127,85.763,0.25,2.3,2.4,0.2,0.2,0.998,168.695
600.0 MHz,27.633,85.866,0.25,2.3,4.9,0.2,0.3,0.995,156.462
600.0 MHz,24.943,97.391,0.25,2.3,4.9,0.25,0.3,0.996,158.698
600.0 MHz,28.215,85.775,0.25,2.3,5.0,0.2,0.3,0.995,155.98
600.0 MHz,25.482,97.244,0.25,2.3,5.0,0.25,0.3,0.996,158.249
600.0 MHz,14.329,62.174,0.25,2.4,2.0,0.1,0.1,,
600.0 MHz,10.857,88.173,0.25,2.4,2.0,0.2,0.2,0.998,170.64
600.0 MHz,15.012,61.638,0.25,2.4,2.1,0.1,0.1,0.996,167.084
600.0 MHz,11.428,87.321,0.25,2.4,2.1,0.2,0.2,0.998,170.151
