freq,L,Q,N,L1,L2,W,S,"mag(S(1,1))","phase(S(1,1))"
200.0 MHz,14.454,42.06,0.25,2.0,2.0,0.1,0.1,,
200.0 MHz,10.929,59.181,0.25,2.0,2.0,0.2,0.2,0.999,176.853
200.0 MHz,11.503,58.619,0.25,2.0,2.1,0.2,0.2,0.999,176.688
200.0 MHz,12.643,57.846,0.25,2.0,2.3,0.2,0.2,0.999,176.36
200.0 MHz,13.214,57.596,0.25,2.0,2.4,0.2,0.2,0.999,176.196
200.0 MHz,13.789,57.268,0.25,2.0,2.5,0.2,0.2,0.999,176.03
200.0 MHz,27.772,57.784,0.25,2.0,4.9,0.2,0.3,0.998,172.015
200.0 MHz,25.051,65.503,0.25,2.0,4.9,0.25,0.3,0.998,172.795
200.0 MHz,23.416,69.843,0.25,2.0,4.9,0.3,0.3,0.998,173.264
200.0 MHz,28.354,57.731,0.25,2.0,5.0,0.2,0.3,0.998,171.848
200.0 MHz,25.589,65.407,0.25,2.0,5.0,0.25,0.3,0.998,172.64
200.0 MHz,14.454,42.06,0.25,2.1,2.0,0.1,0.1,,
200.0 MHz,10.929,59.181,0.25,2.1,2.0,0.2,0.2,0.999,176.853
200.0 MHz,15.144,41.742,0.25,2.1,2.1,0.1,0.1,0.998,175.641
200.0 MHz,11.503,58.619,0.25,2.1,2.1,0.2,0.2,0.999,176.688
200.0 MHz,12.643,57.846,0.25,2.1,2.3,0.2,0.2,0.999,176.36
200.0 MHz,13.214,57.596,0.25,2.1,2.4,0.2,0.2,0.999,176.196
200.0 MHz,13.789,57.268,0.25,2.1,2.5,0.2,0.2,0.999,176.03
200.0 MHz,27.772,57.784,0.25,2.1,4.9,0.2,0.3,0.998,172.015
200.0 MHz,25.051,65.503,0.25,2.1,4.9,0.25,0.3,0.998,172.795
200.0 MHz,28.354,57.731,0.25,2.1,5.0,0.2,0.3,0.998,171.848
200.0 MHz,25.589,65.407,0.25,2.1,5.0,0.25,0.3,0.998,172.64
200.0 MHz,14.454,42.06,0.25,2.2,2.0,0.1,0.1,,
200.0 MHz,10.929,59.181,0.25,2.2,2.0,0.2,0.2,0.999,176.853
200.0 MHz,15.144,41.742,0.25,2.2,2.1,0.1,0.1,0.998,175.641
200.0 MHz,11.503,58.619,0.25,2.2,2.1,0.2,0.2,0.999,176.688
200.0 MHz,12.643,57.846,0.25,2.2,2.3,0.2,0.2,0.999,176.36
200.0 MHz,13.214,57.596,0.25,2.2,2.4,0.2,0.2,0.999,176.196
200.0 MHz,27.772,57.784,0.25,2.2,4.9,0.2,0.3,0.998,172.015
200.0 MHz,25.051,65.503,0.25,2.2,4.9,0.25,0.3,0.998,172.795
200.0 MHz,28.354,57.731,0.25,2.2,5.0,0.2,0.3,0.998,171.848
